,EU_Sales,Global_Sales,JP_Sales,NA_Sales,Other_Sales,genre,name,platform,publisher,rank,year
172,1.24,5.49,0.91,3.14,0.20,Platform,Super Mario Advance,GBA,Nintendo,173,2001
173,1.64,5.47,0.99,2.62,0.23,Racing,Mario Kart: Super Circuit,GBA,Nintendo,174,2001
174,1.11,5.46,0.95,3.21,0.20,Platform,Super Mario World,GBA,Nintendo,175,2001
175,1.24,5.45,0.94,3.18,0.09,Strategy,Pokemon Stadium,N64,Nintendo,176,1999
176,2.29,5.42,0.24,2.07,0.82,Platform,Crash Bandicoot: The Wrath of Cortex,PS2,Universal Interactive,177,2001
177,1.84,5.42,0.00,2.74,0.84,Shooter,Call of Duty: World at War,PS3,Activision,178,2008
178,2.50,5.36,0.24,1.79,0.83,Misc,Minecraft,PS4,Sony Computer Entertainment Europe,179,2014
179,1.23,5.35,1.87,1.75,0.51,Role-Playing,Final Fantasy XIII,PS3,Square Enix,180,2009
180,0.96,5.34,2.00,2.18,0.20,Puzzle,Dr. Mario,GB,Nintendo,181,1989
181,1.12,5.31,1.01,3.02,0.16,Misc,Pokemon Pinball,GB,Nintendo,182,1999
182,0.77,5.30,2.78,1.62,0.14,Role-Playing,Final Fantasy IX,PS,SquareSoft,183,2000
183,1.71,5.29,0.03,3.13,0.44,Action,Assassin's Creed III,X360,Ubisoft,184,2012
184,1.08,5.29,2.11,1.92,0.17,Role-Playing,Final Fantasy X-2,PS2,Electronic Arts,185,2003
185,1.55,5.28,0.08,3.13,0.52,Action,Assassin's Creed II,X360,Ubisoft,186,2009
186,0.79,5.27,1.09,3.33,0.06,Platform,Donkey Kong 64,N64,Nintendo,187,1999
187,1.53,5.27,0.01,3.25,0.48,Shooter,Call of Duty: Advanced Warfare,XOne,Activision,188,2014
188,2.46,5.24,0.20,2.30,0.28,Action,Tomb Raider II,PS,Eidos Interactive,189,1997
189,2.22,5.24,0.00,2.48,0.54,Role-Playing,Diablo III,PC,Activision,190,2012
190,0.26,5.23,0.01,4.26,0.71,Sports,Madden NFL 2004,PS2,Electronic Arts,191,N/A
191,0.75,5.21,3.61,0.65,0.20,Role-Playing,Dragon Quest VIII: Journey of the Cursed King,PS2,Square Enix,192,2004
192,1.25,5.20,0.83,2.93,0.20,Platform,Super Mario Bros. 3,GBA,Nintendo,193,2003
193,2.44,5.20,1.03,1.21,0.52,Puzzle,Professor Layton and the Curious Village,DS,Nintendo,194,2007
194,0.98,5.19,1.57,2.49,0.15,Platform,Super Mario Land 3: Wario Land,GB,Nintendo,195,1994
195,1.93,5.18,0.09,2.29,0.86,Action,Uncharted: The Nathan Drake Collection,PS4,Sony Computer Entertainment,196,2015
196,3.49,5.17,0.03,1.10,0.55,Action,FIFA Soccer 13,X360,Electronic Arts,197,2012
197,0.74,5.15,2.20,2.10,0.11,Platform,Donkey Kong Country 2: Diddy's Kong Quest,SNES,Nintendo,198,1995
198,2.23,5.13,0.13,1.98,0.80,Shooter,Medal of Honor: Rising Sun,PS2,Electronic Arts,199,2003
199,0.61,5.13,1.70,2.71,0.11,Platform,Kirby's Dream Land,GB,Nintendo,200,1992
